id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href,log_gia,Thương hiệu_encoded,Dòng xe_encoded,Loại xe_encoded,Dung tích xe_encoded,Xuất xứ_encoded,cluster,kmeans_cluster,gmm_cluster,agg_cluster,sil_value,pca1,pca2
11,Bán gấp Kawasaki gpz400 1973,19.9,22.08,25.92,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Xe zin keng, rất đẹp, có giá trị trưng bày và sưu tầm cao, xem xe ở q1 hcm",Kawasaki,Dòng khác,2015.0,99000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124982577.htm,3.039749158970765,15,39,0,3,2,1,1,1,2,0.06065879993788723,1.025486737578915,2.7926051289838423
12,SH Ý Zin,100.0,23.67,27.79,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Ai có nhu cầu mua xe liên hệ sdt.
Xem xe trực tiếp quận 1,hcm",Honda,SH,2005.0,8000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124960442.htm,4.61512051684126,11,114,1,0,3,2,2,0,0,0.3876446206884794,0.7650219334371215,0.7424540150162379
13,Bán xe Wolf 125cc,14.8,13.62,15.98,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","- Tình trạng đồ zin còn 80%, có độ cafe nhẹ
- Máy êm, mạnh, nổ thì thầm
- Hệ thống đèn còi xi nhan còn hoạt động tốt
- Biển số tp, dễ nhìn
- Chia sẽ cho AE cùng đam mê
- Xem xe Quận 1 hoặc Tân Bình( buổi tối)
Cảm ơn chợ tốt đã duyệt tin.",SYM,Wolf,2016.0,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124945498.htm,2.760009940032921,23,154,0,0,8,0,0,0,0,0.7682536891304143,-0.07235894478738927,-0.6631059530509995
14,Ex zin 2014 xuống áo Ngay chủ,18.5,13.86,16.27,"Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh","Ex 2014 ,máy zin ,nhẹ ,xe xuống áo chuẩn .bstp.xe ngay mình đứng tên. Ae mau lẹ bớt lộc .lh 177 ky con phuong nguyên Thái Bình q.1
### Bạn nào có ab hoac lead trao đổi bù trừ tuy theo đời xe nhé ###",Yamaha,Exciter,2014.0,20000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124911093.htm,2.970414465569701,33,49,2,0,2,0,0,0,0,0.7710844434641793,-0.1754713832988019,-0.46334931315218614
15,siêu lướt như mới dính pháp lý hôn nhân,37.0,36.19,42.49,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","Vario 160 2024
Xe nhà ít đi siêu lướt siêu mới
Dính pháp lý hôn nhân chính chủ ghi giấy tay kèm cccd",Honda,Vario,2024.0,900,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124901589.htm,3.6375861597263857,11,142,1,0,6,0,0,0,0,0.6490850502898194,0.9403935152637443,-1.1335843443800926
16,Xe Vespa paggio xanh,6.0,3.91,4.59,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",Cần bán xe vespa xanh ngọc như hình tại quận 1,Hãng khác,Dòng khác,2001.0,300000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124875419.htm,1.9459101490553132,13,39,1,0,7,2,2,2,0,0.19161681663418548,-2.2169595971194256,1.1045640556244563
17,Bán xe ab đầu bò đen nhám,11.0,36.71,43.1,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",Dư xe .cần bán .có fix .mọi chức năng hoạt động bình thường. Khung sườn keng nội thất ko hoen rỉ mục nát .đinh tán còn sơn phết. Có chống trộm .chỉ có dàn áo trầy nhẹ theo năm tháng .miễn trung gian. Xe biển TP .mua bán công chứng giữa người mua bán giao cà vẹt,Honda,Air Blade,2023.0,70000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124836276.htm,2.4849066497880004,11,8,1,0,2,0,0,0,0,0.6826203131921751,0.16008127938528177,-1.0696405740237134
18,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới,83.0,42.75,50.19,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","bán cup125 xe như mới đầy đủ phụ kiện theo xe mới 
( lấy xe đen mới mua đưa qua )
Do đổi xe đen nên nhượng lại xe xanh .chỉ để dành đi học . Cavet chính chủ bso đẹp có thể uỷ quyền cho khách đi thoải mái .fix nhẹ cho ae chung đam mê cup125",Honda,Cub,2022.0,8600,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124834252.htm,4.430816798843313,11,30,2,0,4,0,0,0,0,0.49380035208163364,1.6428396061343495,-0.6492541287161263
19,Vario đen,33.0,30.13,35.37,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","bán xe như ảnh chính chủ,uỷ quyền Lần 2 ,mua về chỉ đổ xăng là đi,nhớt,lọc gió mới thay 
lọc gió K&N bớt 500k cho người thiện chí mua
lưu ý : mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt 500k cho người thiện chí mua sử dụng,còn trả dưới giá e k bán đỡ mất thời gian đôi bên",Honda,Vario,2019.0,27000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124827600.htm,3.5263605246161616,11,142,1,0,6,0,0,0,0,0.7349745658672789,0.4290771660396941,-0.7224138957495004
20,Cần bán xe vespa cũ 3vie 125 đời 2016 màu trắng,30.0,25.09,29.45,"Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","Xe còn chạy tốt, do ít sử dụng nên bán lại
Khách thiện chí có thể thương lượng được giá tốt",Piaggio,Vespa,2016.0,23000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124798503.htm,3.4339872044851463,20,144,1,0,3,0,0,0,0,0.7568524821542499,0.17328211778525807,-0.5273945752634555
